Date,iShares MSCI UK ETF,FTSE All-Share Index,FTSE 250 Index,FTSE 100 Index,UK_CPI,UK_Ind_Production,UK_GDP,UK_CPI_YoY,UK_Ind_Prod_YoY,UK_GDP_YoY,Is_Holiday
2011-04-29,0.0031491155807372717,0.0,0.0,0.0,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,True
2011-05-02,-0.0010462594734327313,0.0,0.0,0.0,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,True
2011-05-03,-0.018334139408319294,0.0018446950759045677,7.486445144833098e-05,0.0021417157134635545,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-05-04,-0.005336514505136392,-0.015059270824499094,-0.00879749950317621,-0.01624222102511208,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-05-05,-0.02360512320464614,-0.009902859752670023,-0.005323611032070907,-0.01071173553419602,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-05-06,0.0016484272690115986,0.008827467258565092,0.005191757260945673,0.00959456160261829,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-05-09,0.006033907716783471,-0.004981297073324065,-0.0009322582769599741,-0.005705329020432637,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-05-10,0.012540905503700905,0.012795183561541412,0.013374180711476003,0.01282240471955065,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-05-11,-0.011846958554178166,-0.006551307682802987,-0.003094084219522397,-0.0071275321138078995,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-05-12,-0.00272463835695147,-0.005004443732729236,-0.0042270928863438195,-0.005187416331994599,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-05-13,-0.011475367801700331,-0.0022921137478589815,0.002682403170802816,-0.0032128002785954957,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-05-16,-0.003869526844323956,-0.000996621314709123,-0.004633690998773421,-0.0003712021916502106,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-05-17,0.0027745340243725547,-0.01033863734381224,-0.009008976597854157,-0.010584633463070148,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-05-18,0.006640762981278803,0.00969716533457543,0.0043511321392362134,0.010663709264630672,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
2011-05-19,0.006597238687209961,0.005782567607840461,0.008328075709779226,0.005486621085506904,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,0.013316234254121984,False
