Date,EWU,^FTAS,^FTMC,^FTSE,UK_CPI,UK_Ind_Production,UK_GDP,UK_CPI_YoY,UK_Ind_Prod_YoY,UK_GDP_QoQ,UK_GDP_YoY,Is_Holiday
2011-05-31,0.011382261295608487,0.008547075301738039,0.008529284013937488,0.008604303574148986,93.3,90.04739,414040.0,0.03781979977753047,-0.07266815881653998,-0.005956482386242246,0.013316234254121984,False
2011-06-01,-0.027331236084028543,-0.009141105028722452,-0.004228575287368419,-0.010250401059056724,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-02,0.0016526829865468606,-0.012145375037775241,-0.0038968013995731576,-0.013612015312755354,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-03,0.002200321071518685,0.0011784357603867868,0.0008108497293739525,0.0012141277680564055,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-06,-0.008232709851206943,0.0013600795150425782,0.0020212813248239314,0.0014005457408197142,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-07,0.008854669714136953,0.00042120423758240655,0.0009918740403811466,0.00025583298370057683,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-08,-0.010971048925809801,-0.009631109840133267,-0.011483197014298896,-0.009514602811811157,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-09,0.01164721318339268,0.007421278945699106,0.0034284862487887757,0.008159875904321545,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-10,-0.02796029298103775,-0.014530369673739107,-0.010544310881315022,-0.015453443815762635,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-13,0.005639928259606686,0.001028955990149516,-0.0005515017817749879,0.0013354947402508532,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-14,0.011217079489894033,0.005388431339071298,0.006952790069612469,0.005126889695375336,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-15,-0.028286143833911925,-0.009937394863285154,-0.008262093578550567,-0.010425462077491066,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-16,-0.00970334426952657,-0.008118392877025205,-0.011178740469022896,-0.0076272580754188635,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-17,0.008069136413288103,0.0027204632577157994,0.0025704668247157336,0.002825173406338477,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-20,0.00171544317061878,-0.0047930741084947215,-0.010633007089536739,-0.0037620956390124194,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-21,0.01826488694234274,0.01362384319638954,0.010149299512886678,0.014385060552313478,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-22,-0.014084489336815498,-0.000514668873525248,-0.0016044920750710734,-0.0003982139049532041,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-23,-0.010989411932827098,-0.016719819999419294,-0.015683814040387323,-0.017079524970769144,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-24,-0.0076021864244375514,0.00446641740600362,0.006513144931585613,0.004106212704382273,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-27,0.0076604223834868534,0.0037839545872895286,0.0018042387030083873,0.004317462929207538,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-28,0.010526615387758342,0.007211005139475368,0.004961493379404658,0.007794086150417323,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-29,0.015624998466607698,0.015370011700815756,0.016611507288963878,0.01545025909328479,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-06-30,0.014814802646931247,0.0146360384529578,0.011424486614020957,0.015317656303364124,93.5,91.10058,414040.0,0.03658536585365857,-0.04840486093846952,0.0,-0.005956482386242246,False
2011-07-01,0.010106585567434268,0.007624230684479372,0.008907307247151053,0.00741705903869283,93.5,90.78462,418119.0,0.03888888888888897,-0.04328529102279899,0.009851705149261036,0.0038365412548226896,False
2011-07-04,0.0,0.004682153142602452,0.00514937343801547,0.004624561123198534,93.5,90.78462,418119.0,0.03888888888888897,-0.04328529102279899,0.009851705149261036,0.0038365412548226896,False
